,UnitID,Species,Collection_Locale,DateCollected,AssociatedMedia
1808,CAM017397,Heliconius erato ssp. lativitta,Y de Misahuallí,201091,"https://zenodo.org/record/4153502/files/CAM017397_d.JPG ,
https://zenodo.org/record/4153502/files/CAM017397_v.JPG"
1809,CAM017398,Heliconius erato ssp. notabilis x lativitta,Y de Misahuallí,201091,"https://zenodo.org/record/1247307/files/CAM017398_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017398_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017398_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017398_v.JPG"
1810,CAM017399,Heliconius erato ssp. lativitta,Y de Misahuallí,201091,"https://zenodo.org/record/3082688/files/CAM017399_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017399_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017399_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017399_v.JPG"
1811,CAM017407,Heliconius erato ssp. notabilis x lativitta,"San Pedro de Arajuno, Río Arajuno",201093,"https://zenodo.org/record/1247307/files/CAM017407_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017407_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017407_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017407_d.JPG"
1812,CAM017408,Heliconius erato ssp. notabilis x lativitta,"San Pedro de Arajuno, Río Arajuno",201093,"https://zenodo.org/record/3082688/files/CAM017408_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017408_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017408_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017408_v.JPG"
1813,CAM017410,Heliconius erato ssp. notabilis x lativitta,"San Pedro de Arajuno, Río Arajuno",201093,"https://zenodo.org/record/3082688/files/CAM017410_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017410_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017410_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017410_v.JPG"
1814,CAM017411,Heliconius elevatus,Río Pusuno,201094,"https://zenodo.org/record/4153502/files/CAM017411_v.JPG ,
https://zenodo.org/record/4153502/files/CAM017411_d.JPG"
1815,CAM017413,Heliconius erato ssp. lativitta,Río Pusuno,201094,"https://zenodo.org/record/1247307/files/CAM017413_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017413_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017413_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017413_v.JPG"
1816,CAM017414,Heliconius erato ssp. lativitta,Río Pusuno,201094,"https://zenodo.org/record/3082688/files/CAM017414_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017414_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017414_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017414_v.JPG"
1817,CAM017415,Heliconius erato ssp. lativitta,Río Pusuno,201095,"https://zenodo.org/record/3082688/files/CAM017415_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017415_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017415_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017415_d.JPG"
1818,CAM017416,Heliconius erato ssp. lativitta,Río Pusuno,201095,"https://zenodo.org/record/1247307/files/CAM017416_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017416_v.JPG ,
https://zenodo.org/record/3082688/files/CAM017416_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017416_d.JPG"
1819,CAM017418,Heliconius erato ssp. notabilis x lativitta,El Capricho Km 5.7,2010913,"https://zenodo.org/record/3082688/files/CAM017418_d.JPG ,
https://zenodo.org/record/1247307/files/CAM017418_d.JPG ,
https://zenodo.org/record/3082688/files/CAM017418_v.JPG ,
https://zenodo.org/record/1247307/files/CAM017418_v.JPG"
